NAME,OTHERNAME,PLANETDISCMETH,DATE,MSINI,I,R,A,PER,ECC,STAR,V,VURL,VREF,DIST,MSTAR,RSTAR,TEFF,LOGG,FE
,,,,mjupiter,deg,rjupiter,au,day,,,,,,pc,msun,rsun,k,,
Kepler-322 c,KOI-1820,Transit,2014,,,0.148987,0.0520493,4.337234,,Kepler-322,,,,,,0.89,5388,4.501,
HD 33636 b,,RV,2002,9.26951,,,3.26519,2127.7,0.4805,HD 33636,7,,,28.3688,1.017,1.03374,5904.28,4.42931,-0.125591
Kepler-477 b,,Transit,2016,,,0.185,0.093078,11.11990653,0,Kepler-477,,,,367,0.87,0.79,5240,4.58,-0.04
Kepler-1327 b,,Transit,2016,,,0.161,0.119224,14.88801098,0,Kepler-1327,,,,688,1.02,1.03,5885,4.42,-0.03
V830 Tau b,,RV,2017,0.569537,55,,0.056677,4.927,,V830 Tau,12.08,,,150,1,2,4250,,
Kepler-163 c,KOI-471,Transit,2014,,,0.201624,0.150603,21.347262,,Kepler-163,,,,,,0.917,5776,4.524,
Kepler-1128 b,,Transit,2016,,,0.326,0.29908,61.6178167,0,Kepler-1128,,,,1163,0.94,0.91,5543,4.5,0.04
HAT-P-40 b,,Transit,2012,0.619927,88.3,1.73,0.060845,4.457243,0,HAT-P-40,11.34,,,501,1.512,2.206,6080,3.93,0.22
HD 240237 b,2MASS J23173569+6038580,RV,2012,5.31949,,,1.91887,745.7,0.4,HD 240237,8.19,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,,1.69,,4361,,-0.26
Kepler-494 b,,Transit,2016,,,0.637,0.0809789,8.02511821,0,Kepler-494,,,,862,1.1,1.26,6007,4.28,0.02
Kepler-169 f,KOI-505,Transit,2014,,,0.230172,0.38452,87.090195,,Kepler-169,,,,,,0.763,4997,4.582,
Kepler-283 b,KOI-1298,Transit,2014,,,0.190026,0.0968462,11.008151,,Kepler-283,,,,,,0.566,4351,4.721,
rho CrB b,,RV,1997,1.06409,,,0.225692,39.8449,0.057,rho CrB,5.39,,,17.2354,0.965,1.10084,5822.58,4.36496,-0.198985
Kepler-214 b,KOI-693,Transit,2014,,,0.232849,0.122502,15.660544,,Kepler-214,,,,,,1.352,6169,4.249,
Kepler-700 b,,Transit,2016,,,0.534,0.363536,80.8720639,0,Kepler-700,,,,1061,0.98,0.96,5692,4.47,0.04
Kepler-1549 b,,Transit,2016,,,0.229,0.672832,214.886545,0,Kepler-1549,,,,792,0.88,0.84,5324,4.54,0.02
Kepler-730 b,,Transit,2016,,,0.822,0.0681049,6.49168426,0,Kepler-730,,,,1455,1,1.01,5726,4.43,0.07
Kepler-1515 b,,Transit,2016,,,0.852,0.764923,214.3114164,0,Kepler-1515,,,,504,1.3,1.41,6511,4.26,0.07
Kepler-1424 b,,Transit,2016,,,0.103,0.188549,29.6091744,0,Kepler-1424,,,,620,1.02,1.07,5838,4.39,0.01
Kepler-314 b,KOI-1692,Transit,2014,,,0.0740476,0.0356743,2.461069,,Kepler-314,,,,,,0.95,5378,4.465,
Kepler-188 c,KOI-573,Transit,2014,,,0.284593,0.0645963,5.996553,,Kepler-188,,,,,,1.141,6021,4.346,
Kepler-731 b,,Transit,2016,,,1.238,0.0485975,3.85560355,0,Kepler-731,,,,1311,1.03,1.06,5849,4.41,0.04
Kepler-1338 b,,Transit,2016,,,0.082,0.018961,0.93511806,0,Kepler-1338,,,,619,1.04,1.05,5909,4.41,0
Kepler-233 b,KOI-790,Transit,2014,,,0.21679,0.0813349,8.472382,,Kepler-233,,,,,,0.758,5360,4.614,
Kepler-1530 c,,Transit,2016,,,0.147,0.0580264,5.3227406,0,Kepler-1530,,,,552,0.92,0.88,5477,4.52,0.03
Kepler-118 b,KOI-216,Transit,2014,,,0.174859,0.0751093,7.518496,,Kepler-118,,,,,,1.094,5274,4.321,
Kepler-1440 b,,Transit,2016,,,0.112,0.226831,39.859484,0,Kepler-1440,,,,685,0.98,0.96,5698,4.46,0.04
Kepler-65 c,,Transit,2013,,,0.235624,0.0685234,5.859944,,Kepler-65,10.92,,,306.391,1.25,1.41,6211,4.232,0.17
Kepler-1513 b,,Transit,2016,,,0.755,0.576981,160.88465087,0,Kepler-1513,,,,384,0.99,0.97,5617,4.46,0.14
Kepler-110 b,KOI-124,Transit,2014,,,0.163262,0.106481,12.691112,,Kepler-110,,,,,,1.149,5960,4.327,
HD 11977 b,,RV,2005,7.40012,,,2.063,711,0.4,HD 11977,4.695,,,67.0691,2.31,8.14661,5067,2.91,-0.16
Kepler-1192 b,,Transit,2016,,,0.211,0.159985,25.2034787,0,Kepler-1192,,,,1108,0.86,0.83,5438,4.55,-0.16
Kepler-1382 b,,Transit,2016,,,0.168,0.139726,16.3583055,0,Kepler-1382,,,,730,1.36,1.72,6161,4.1,0.3
HD 73534 b,,RV,2009,1.06828,,,3.0184,1770,0.074,HD 73534,8.23,,,81.0373,1.17,2.90137,4884,3.59,0.16
Kepler-689 b,,Transit,2016,,,0.258,0.150552,22.36656079,0,Kepler-689,,,,1044,0.91,0.88,5518,4.51,-0.01
Kepler-1643 b,,Transit,2016,,,0.205,0.058171,5.34264507,0,Kepler-1643,,,,414,0.92,0.88,5508,4.52,-0.01
Kepler-195 b,KOI-598,Transit,2014,,,0.181104,0.0802786,8.307872,,Kepler-195,,,,,,0.775,5329,4.603,
Kepler-498 b,,Transit,2016,,,0.27,0.0878909,9.61375356,0,Kepler-498,,,,746,0.98,0.96,5744,4.47,-0.04
Kepler-50 c,KOI-262,Transit,2012,,,0.248685,0.0932375,9.3761368,,Kepler-50,10.54,,,,1.23,1.88,6058,3.98,
Kepler-863 b,,Transit,2016,,,0.259,0.120507,15.59461874,0,Kepler-863,,,,1145,0.96,0.95,5678,4.46,-0.03
Kepler-1464 b,,Transit,2016,,,0.148,0.19765,31.7785901,0,Kepler-1464,,,,692,1.02,1.01,5828,4.44,0.03
HD 164604 b,,RV,2010,2.6885,,,1.30299,606.4,0.24,HD 164604,9.7,,,41.0678,0.8,,,,-0.18
Kepler-1356 b,,Transit,2016,,,0.136,0.0135188,0.63400294,0,Kepler-1356,,,,881,0.82,0.78,5106,4.58,-0.02
Kepler-359 b,KOI-2092,Transit,2014,,,0.314926,0.169831,25.563222,,Kepler-359,,,,,,1.086,6248,4.429,
TRAPPIST-1 b,WISE J230630.02-050234.1,Transit,2016,,89.56,0.102716,0.0115051,1.51087637,0,TRAPPIST-1,18.79,http://adsabs.harvard.edu/abs/2006AJ....132.1234C,Costa 2006,12.1095,0.089,0.121,2516,5.22,0.04
HATS-24 b,,Transit,2017,2.45019,86.6,1.52422,0.0254851,1.3484954,0,HATS-24,12.83,,,510,1.212,1.172,6346,4.384,0
HD 215152 d,,RV,2018,0.00881646,,,0.087995,10.86499,0,HD 215152,6.45,,,21.6263,0.77,0.73,4935,4.4,-0.1
Kepler-1201 b,,Transit,2016,,,0.204,0.125745,15.18725932,0,Kepler-1201,,,,1202,1.15,1.24,6177,4.32,0.03
HIP 63242 b,,RV,2013,,,,0.563801,124.6,0.23,HIP 63242,6.87,,,134.771,1.54,,4830,2.53,-0.31
Kepler-1594 b,,Transit,2016,,,0.095,0.0388448,2.71603809,0,Kepler-1594,,,,1100,1.06,1.08,5946,4.39,0.03
Kepler-642 b,,Transit,2016,,,0.259,0.0589428,4.41745855,0,Kepler-642,,,,1022,1.4,1.66,6570,4.14,0.06
Kepler-359 d,KOI-2092,Transit,2014,,,0.357748,0.354508,77.095691,,Kepler-359,,,,,,1.086,6248,4.429,
WASP-142 b,,Transit,2017,0.82467,80.2,1.56195,0.034771,2.052868,0,WASP-142,12.3,,,840,1.33,1.64,6060,4,0.26
Kepler-115 b,KOI-159,Transit,2014,,,0.0972433,0.0351175,2.403679,,Kepler-115,,,,,,1.205,5979,4.306,
HD 37124 c,,RV,2003,0.648109,,,1.70993,885.5,0.125,HD 37124,7.68,,,33.67,0.85,0.772275,5500.24,4.59917,-0.441617
HD 217107 c,,RV,2005,2.61546,,,5.33414,4270,0.517222,HD 217107,6.17,,,19.857,1.108,1.5,5704.36,4.54136,0.389294
Kepler-1323 b,,Transit,2016,,,0.136,0.0197027,0.92990668,0,Kepler-1323,,,,530,1.18,1.4,6169,4.21,0.02
HD 74156 b,,RV,2004,1.77342,,,0.291535,51.638,0.63,HD 74156,7.61,,,64.433,1.238,1.345,6067.98,4.25915,0.130772
Kepler-928 b,,Transit,2016,,,0.142,0.0439026,3.9324613,0,Kepler-928,,,,532,0.73,0.7,4700,4.62,-0.11
Kepler-180 b,KOI-542,Transit,2014,,,0.133821,0.11269,13.817124,,Kepler-180,,,,,,1.063,5731,4.343,
HD 103774 b,2MASS J11565559-1206284,RV,2013,0.368054,,,0.070273,5.8881,0.09,HD 103774,7.12,,,55.4631,1.335,1.43364,6489,4.26,0.28
Kepler-43 b,KOI-135,Transit,2011,3.21573,84.35,1.2,0.0449294,3.024095,0,Kepler-43,,http://adsabs.harvard.edu/abs/2012A%26A...538A..96B,Bonomo 2012,1950,1.32,1.42,6041,4.26,0.33
Kepler-76 b,KIC 4570949 b,Transit,2013,,77.55,1.36,0.0278077,1.5449298,0,Kepler-76,,,,,1.2,1.32,6409,4.2,-0.1
Kepler-310 b,KOI-1598,Transit,2014,,,0.106165,0.113307,13.930698,,Kepler-310,,,,,,0.876,5797,4.521,
Kepler-222 c,KOI-723,Transit,2014,,,0.413953,0.0913762,10.08881,,Kepler-222,,,,,,0.869,5433,4.551,
Kepler-1154 c,,Transit,2016,,,0.211,0.0877495,8.45808312,0,Kepler-1154,,,,1531,1.26,1.43,6327,4.23,0.04
Kepler-538 b,,Transit,2016,,,0.202,0.363618,81.73780699,0,Kepler-538,,,,165,0.96,0.9,5650,4.51,-0.05
KELT-6 b,2MASS J13035564+3038241,Transit,2014,0.431127,88.81,1.193,0.0794132,7.8457,0.22,KELT-6,10.336,,,222,1.085,1.58,6102,4.074,-0.281
WASP-13 b,,Transit,2009,0.472376,85.43,1.407,0.0537034,4.3530135,0,WASP-13,10.42,,,155,1.09,1.574,5950,4.06,0
Kepler-683 b,,Transit,2016,,,0.176,0.035933,2.53918318,0,Kepler-683,,,,976,0.96,0.95,5703,4.47,-0.03
Kepler-84 c,KOI-1589,Transit,2012,,,0.215,0.107552,12.883,,Kepler-84,,,,,1,1.43,5755,4.13,-0.131
Kepler-918 b,,Transit,2016,,,0.155,0.0580906,4.85386933,0,Kepler-918,,,,1245,1.11,1.14,6028,4.37,0.06
Kepler-569 b,,Transit,2016,,,0.282,0.202661,34.18890521,0,Kepler-569,,,,645,0.95,0.93,5616,4.48,0.01
HD 13931 b,,RV,2010,1.88123,,,5.14931,4218,0.02,HD 13931,7.61,,,44.2282,1.022,1.22417,5829,4.3,0.03
Kepler-58 d,KOI-1336,Transit,2014,,,0.262289,0.229287,40.101371,,Kepler-58,,,,,,1.127,6099,4.372,
HAT-P-18 b,2MASS J17052315+3300450,Transit,2011,0.197162,88.8,0.995,0.0559503,5.508023,0.084,HAT-P-18,12.759,,,166,0.77,0.749,4803,4.57,0.1
Kepler-672 b,,Transit,2016,,,0.223,0.218893,38.3774623,0,Kepler-672,,,,1011,0.95,0.92,5627,4.5,-0.01
Kepler-357 b,KOI-2073,Transit,2014,,,0.164154,0.0679912,6.475434,,Kepler-357,,,,,,0.834,5036,4.503,
Kepler-1518 b,,Transit,2016,,,0.272,0.0670648,5.11177904,0,Kepler-1518,,,,1140,1.54,1.88,6846,4.08,0.06
Kepler-971 b,,Transit,2016,,,0.19,0.084658,9.59070716,0,Kepler-971,,,,345,0.88,0.85,5431,4.54,-0.06
K2-18 c,EPIC 201912552,RV,2017,0.0239033,,,0.0600137,8.962,0,K2-18,13.5,,,34,0.359,0.411,3457,,
Kepler-406 c,KOI-321,Transit,2014,0.00857506,,0.0758319,0.0555527,4.62332,0,Kepler-406,,,,,1.07,1.07,5538,4.409,0.18
HD 155358 c,,RV,2007,0.807031,,,1.00082,391.9,0.16,HD 155358,7.28,,,44.1112,0.87,1.49875,5760,4.09,-0.68
WASP-43 b,2MASS J10193800-0948225,Transit,2011,1.7613,82.6,0.93,0.0142363,0.813475,0,WASP-43,12.4,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,Hellier 2011,80,0.58,0.598,4400,4.646,-0.05
Kepler-1570 b,,Transit,2016,,,0.095,0.169395,26.548955,0,Kepler-1570,,,,463,0.92,0.89,5550,4.5,-0.04
Kepler-159 c,KOI-448,Transit,2014,,,0.30422,0.242421,43.595792,,Kepler-159,,,,,,0.663,4625,4.653,
Kepler-39 b,KOI-423,Transit,2011,18.1767,88.83,1.22,0.155007,21.0874,0.121,Kepler-39,,,,1200.05,1.1,1.39,6260,4.1,-0.29
Kepler-920 c,,Transit,2016,,,0.339,0.407808,100.8274113,0,Kepler-920,,,,926,0.89,0.85,5403,4.54,0
14 And b,,RV,2008,4.68383,,,0.823151,185.84,0,14 And,5.22,,,79.1766,2.15,11.38,4813,2.63,-0.24
Kepler-1130 b,,Transit,2016,,,0.071,0.0585387,5.45298175,0,Kepler-1130,,,,234,0.9,0.81,5403,4.57,-0.06
Kepler-520 b,,Transit,2016,,,0.148,0.147232,19.67416124,0,Kepler-520,,,,492,1.1,1.09,6112,4.41,-0.03
Kepler-1191 b,,Transit,2016,,,0.135,0.0584627,5.60014851,0,Kepler-1191,,,,876,0.85,0.81,5308,4.56,-0.08
Kepler-1012 b,,Transit,2016,,,0.115,0.0600079,5.50860439,0,Kepler-1012,,,,420,0.95,0.91,5556,4.5,0.05
Kepler-1145 b,,Transit,2016,,,0.125,0.0453661,3.97076766,0,Kepler-1145,,,,714,0.79,0.75,5064,4.59,-0.13
Kepler-891 b,,Transit,2016,,,0.572,0.283142,53.44945593,0,Kepler-891,,,,1372,1.06,1.07,5887,4.41,0.09
Kepler-727 b,,Transit,2016,,,0.226,0.0561729,5.15448442,0,Kepler-727,,,,892,0.89,0.86,5441,4.53,-0.01
Kepler-215 b,KOI-700,Transit,2014,,,0.144527,0.086925,9.360672,,Kepler-215,,,,,,1.027,5739,4.364,
Kepler-294 b,KOI-1396,Transit,2014,,,0.157909,0.0468277,3.701212,,Kepler-294,,,,,,0.976,5913,4.491,
WASP-88 b,,Transit,2014,0.563202,88,1.7,0.0643804,4.954,0,WASP-88,11.4,,,,1.45,2.08,6430,3.96,-0.08
GJ 3138 c,,RV,2017,0.0130611,,,0.056688,5.97377468,0.121224,GJ 3138,10.98,,,29.9043,0.681,0.5,3717,,-0.3
GJ 3998 c,,RV,2016,0.0197987,,,0.08911,13.74,0.049,GJ 3998,10.828,,,17.7936,0.5,0.49,3722,4.77,-0.16
Kepler-29 b,KOI-738,Transit,2011,,,0.320884,0.0928723,10.3376,0,Kepler-29,,,,,1,0.96,5750,5,0
Kepler-792 b,,Transit,2016,,,0.175,0.10143,11.30119217,0,Kepler-792,,,,1205,1.09,1.12,5971,4.38,0.08
Kepler-975 b,,Transit,2016,,,0.132,0.0285538,1.97034246,0,Kepler-975,,,,404,0.8,0.75,4897,4.59,0.07
Kepler-24 b,KOI-1102,Transit,2011,,,0.213923,0.0800144,8.14561,0,Kepler-24,,,,,1.03,1.07,5800,4.34,-0.24
Kepler-542 b,,Transit,2016,,,0.14,0.1064,13.14497566,0,Kepler-542,,,,439,0.93,0.9,5526,4.5,0.02
Kepler-306 b,KOI-1567,Transit,2014,,,0.135605,0.0544926,4.646186,,Kepler-306,,,,,,0.719,4954,4.611,
Kepler-656 b,,Transit,2016,,,0.278,0.0217143,1.26025909,0,Kepler-656,,,,867,0.86,0.82,5281,4.56,-0.04
Kepler-83 b,KOI-898,Transit,2012,,,0.252,0.0778725,9.77,,Kepler-83,,,,,0.66,0.61,4648,4.69,-0.195
Kepler-770 b,,Transit,2016,,,0.205,0.136148,18.92540274,0,Kepler-770,,,,761,0.94,0.92,5598,4.49,-0.01
Kepler-489 b,,Transit,2016,,,0.689,0.122418,17.27629612,0,Kepler-489,,,,379,0.82,0.76,5014,4.59,0
81 Cet b,,RV,2008,4.31096,,,2.28088,952.7,0.206,81 Cet,5.65,,,100.908,1.74,15.7275,4845,2.45,-0.07
Kepler-1204 b,,Transit,2016,,,0.272,0.384289,85.7350285,0,Kepler-1204,,,,1282,1.03,1.03,5825,4.42,0.06
Kepler-1218 b,,Transit,2016,,,0.128,0.161019,22.9221266,0,Kepler-1218,,,,667,1.06,1.1,5986,4.38,-0.02
Kepler-1043 b,,Transit,2016,,,0.227,0.217045,38.5053398,0,Kepler-1043,,,,838,0.92,0.9,5629,4.5,-0.11
Kepler-1396 b,,Transit,2016,,,0.185,0.1432,18.2206421,0,Kepler-1396,,,,1236,1.18,1.27,6195,4.3,0.04
CoRoT-3 b,2MASS 19281326+0007185,Transit,2008,21.799,85.9,1.01,0.0573788,4.2568,0,CoRoT-3,13.292,,,833.333,1.37,1.56,6740,4.23,-0.02
Kepler-377 b,KOI-2279,Transit,2014,,,0.124008,0.105463,12.509529,,Kepler-377,,,,,,1.224,5949,4.303,
Kepler-648 b,,Transit,2016,,,0.287,0.133676,17.4211749,0,Kepler-648,,,,665,1.05,0.98,5741,4.48,0.21
K2-12 b,EPIC 201613023,Transit,2015,,87.6,0.201014,0.080381,8.28246,,K2-12,12.26,,,294,1.01,1.01,5800,,0.03
Kepler-910 b,,Transit,2016,,,0.073,0.0375152,2.36436901,0,Kepler-910,,,,402,1.26,1.5,6230,4.19,0.12
Kepler-126 d,KOI-260,Transit,2014,,,0.223035,0.422434,100.283134,,Kepler-126,10.51,,,,,1.358,6239,4.247,
Kepler-91 b,,Transit,2014,0.758053,69.68,1.36736,0.0726449,6.24658,0.066,Kepler-91,,,,1344.63,1.31,6.3,4550,2.953,0.11
Kepler-1506 b,,Transit,2016,,,0.118,0.11193,14.0329154,0,Kepler-1506,,,,1318,0.95,0.93,5676,4.49,-0.05
HAT-P-38 b,2MASS 02213197+3214461,Transit,2012,0.267451,88.3,0.825,0.0522992,4.640382,0.067,HAT-P-38,12.6,,,249.339,0.886,0.923,5330,4.45,0.06
Kepler-1602 b,,Transit,2016,,,0.12,0.104553,11.17931605,0,Kepler-1602,,,,815,1.22,1.36,6296,4.25,0.02
Kepler-18 d,KOI-137,Transit,2011,,88.07,0.622714,0.117171,14.85888,0.000521567,Kepler-18,,,,,0.972,1.108,5383,4.41,0.2
Kepler-1077 b,,Transit,2016,,,0.247,0.208178,34.3511874,0,Kepler-1077,,,,1098,1.02,1.02,5816,4.43,0.03
Kepler-380 b,KOI-2333,Transit,2014,,,0.106165,0.0487448,3.930821,,Kepler-380,,,,,,1.224,6045,4.293,
Kepler-1580 b,,Transit,2016,,,0.188,0.328211,56.6449279,0,Kepler-1580,,,,872,1.47,2.15,6228,3.94,0.12
HD 32963 b,2MASS J05075576+2619408,RV,2016,0.7,,,3.5161,2372,0.07,HD 32963,7.59,,,36.3901,1.03,0.988525,5272,4.41,0.11
Kepler-132 d,KOI-284,Transit,2014,,,0.138282,0.134468,18.010199,,Kepler-132,11.92,,,,,1.178,6003,4.31,
Kepler-228 b,KOI-756,Transit,2014,,,0.136497,0.0366865,2.566546,,Kepler-228,,,,,,1.014,6043,4.467,
mu Ara e,,RV,2007,0.543322,,,0.93961,310.54999,0.0666,mu Ara,5.12,,,15.5111,1.147,1.25035,5784.28,4.29848,0.292921
Kepler-97 b,KOI-292,Transit,2014,0.0106941,,0.132037,0.036125,2.58664,0,Kepler-97,,,,,0.94,0.98,5779,4.43,-0.2
WASP-96 b,2MASS 00041112-4721382,Transit,2013,0.478203,85.6,1.2,0.0453489,3.4252602,0,WASP-96,12.2,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Hellier 2013,,1.06,1.05,5540,4.25,0.14
EPIC 211945201 b,,Transit,2018,0.0842876,87.9,0.559511,0.14979,19.49213,0,EPIC 211945201,10.15,,,182.6,1.18,1.38,6025,4.25,0.1
Kepler-1229 b,,Transit,2016,,,0.125,0.312498,86.828989,0,Kepler-1229,,,,236,0.54,0.51,3784,4.75,-0.06
Kepler-518 b,,Transit,2016,,,0.188,0.0804858,8.51203588,0,Kepler-518,,,,324,0.96,0.88,5842,4.53,-0.23
Kepler-139 b,KOI-316,Transit,2014,,,0.262289,0.123078,15.771044,,Kepler-139,,,,,,1.3,5594,4.247,
Kepler-952 b,,Transit,2016,,,0.682,0.503142,130.3546919,0,Kepler-952,,,,1167,1,0.99,5730,4.45,0.06
Kepler-375 b,KOI-2236,Transit,2014,,,0.12936,0.103296,12.125934,,Kepler-375,,,,,,0.837,5826,4.567,
Kepler-1285 b,,Transit,2016,,,0.087,0.125346,14.7967458,0,Kepler-1285,,,,364,1.2,1.28,6170,4.3,0.16
HD 136118 b,,RV,2002,11.6809,,,2.33328,1187.3,0.338,HD 136118,6.93,,,46.5766,1.191,1.75082,6097.41,4.05318,-0.0502233
Kepler-182 b,KOI-546,Transit,2014,,,0.230172,0.0897811,9.825792,,Kepler-182,,,,,,1.146,6250,4.401,
Kepler-1313 b,,Transit,2016,,,0.157,0.0466196,3.83309118,0,Kepler-1313,,,,187,0.92,0.85,5453,4.54,0
HD 6434 b,,RV,2004,0.397195,,,0.142061,21.997999,0.17,HD 6434,7.72,,,41.3736,0.79,0.80278,5835,4.6,-0.52
HD 5319 b,,RV,2007,1.76545,,,1.6698,641,0.02,HD 5319,8.05,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,Robinson 2007,114,1.51,3.85,4958,3.45,0.15
Kepler-306 e,KOI-1567,Transit,2014,,,0.202516,0.247015,44.840975,,Kepler-306,,,,,,0.719,4954,4.611,
Kepler-1519 b,,Transit,2016,,,0.63,0.742026,240.7989397,0,Kepler-1519,,,,858,0.94,0.91,5644,4.5,-0.07
Kepler-253 b,KOI-921,Transit,2014,,,0.145419,0.0475233,3.783986,,Kepler-253,,,,,,0.786,5208,4.595,
WASP-151 b,,Transit,2018,0.316639,89.2,1.14691,0.0549549,4.533471,0,WASP-151,12.9,,,480,1.077,1.14,5871,4.3,0.1
Kepler-259 b,KOI-954,Transit,2014,,,0.249799,0.0790333,8.115317,,Kepler-259,,,,,,0.898,5938,4.532,
Kepler-1586 b,,Transit,2016,,,0.136,0.138326,15.6049212,0,Kepler-1586,,,,864,1.45,1.75,6681,4.12,0.06
Kepler-1172 b,,Transit,2016,,,0.285,0.167139,26.0204423,0,Kepler-1172,,,,1292,0.92,0.89,5558,4.51,-0.04
Kepler-1501 b,,Transit,2016,,,0.139,0.123985,14.5564533,0,Kepler-1501,,,,888,1.2,1.3,6229,4.28,0.04
HD 231701 b,,RV,2007,1.08667,,,0.555583,141.60001,0.1,HD 231701,8.97,,,118.483,1.14,1.24116,6208,4.33,0.07
Kepler-666 b,,Transit,2016,,,0.214,0.0538618,4.49876092,0,Kepler-666,,,,1330,1.03,1.05,5887,4.41,0.01
PH-2 b,Kepler-86 b,Transit,2013,,89.83,0.902041,0.825444,282.5255,0.41,PH-2,,,,,0.94,1,5629,4.408,-0.078
Kepler-1027 b,,Transit,2016,,,0.079,0.0291727,1.9078052,0,Kepler-1027,,,,291,0.91,0.82,5436,4.57,-0.06
CoRoT-18 b,2MASS J06324137-0001537,Transit,2011,3.48002,86.5,1.31,0.0295483,1.9000693,0.04,CoRoT-18,15,,,869.996,0.95,1,5440,4.4,-0.1
Kepler-703 b,,Transit,2016,,,0.732,0.0570646,4.58352176,0,Kepler-703,,,,1482,1.18,1.27,6185,4.29,0.05
Kepler-1505 b,,Transit,2016,,,0.083,0.187949,30.8609366,0,Kepler-1505,,,,359,0.93,0.86,5686,4.54,-0.18
Kepler-203 d,KOI-658,Transit,2014,,,0.128468,0.0987232,11.32972,,Kepler-203,,,,,,1.114,5821,4.358,
HD 75898 b,,RV,2007,2.51504,,,1.18906,418.20001,0.1,HD 75898,8.03,,,75.7576,1.28,1.54576,6021,4.16,0.27
HATS-25 b,,Transit,2016,0.612201,86.93,1.28986,0.0516466,4.2986432,0,HATS-25,13.1,,,466,0.994,1.107,5715,4.347,0.02
Kepler-776 b,,Transit,2016,,,0.114,0.0530392,4.89718784,0,Kepler-776,,,,727,0.83,0.78,5071,4.58,0.05
Kepler-876 b,,Transit,2016,,,0.128,0.0543655,5.14438011,0,Kepler-876,,,,735,0.81,0.77,5060,4.58,-0.03
Kepler-224 b,KOI-733,Transit,2014,,,0.124008,0.0419025,3.132924,,Kepler-224,,,,,,0.676,5018,4.639,
Kepler-1459 b,,Transit,2016,,,0.121,0.284837,62.8691611,0,Kepler-1459,,,,435,0.78,0.74,4828,4.61,0.01
Kepler-710 b,,Transit,2016,,,0.168,0.0510655,4.34728553,0,Kepler-710,,,,919,0.94,0.91,5611,4.5,-0.04
Kepler-806 b,,Transit,2016,,,0.102,0.0786193,8.09219642,0,Kepler-806,,,,260,0.99,1.16,5770,4.3,0
Kepler-205 b,KOI-663,Transit,2014,,,0.134713,0.038467,2.75564,,Kepler-205,,,,,,0.546,4321,4.735,
WASP-114 b,,Transit,2016,1.75851,83.96,1.3701,0.0285236,1.5487743,0.012,WASP-114,12.743,,,460,1.289,1.43,5940,4.3,0.14
KOI-4427 b,KOI-4427,Transit,2010,,89.97,0.164155,0.441345,147.6606,0,KOI-4427,,,,240,0.526,0.505,3813,4.751,-0.07
Kepler-612 b,,Transit,2016,,,0.253,0.0466887,3.72215641,0,Kepler-612,,,,932,0.98,0.96,5693,4.46,0.04
KIC 11442793 g,Kepler-90,Transit,2013,,89.8,0.723,0.736177,210.60697,,KIC 11442793,,,,780,1.2,1.2,6080,4.4,-0.12
GJ 1214 b,NLTT 44431,Transit,2009,0.0203507,90,0.2389,0.0143253,1.58040482,0,GJ 1214,15.1,,,12.9534,0.157,0.211,3026,4.991,
Kepler-824 b,,Transit,2016,,,0.167,0.0560063,4.51436633,0,Kepler-824,,,,1352,1.15,1.22,6035,4.32,0.14
Kepler-1451 b,,Transit,2016,,,0.299,0.211879,35.622233,0,Kepler-1451,,,,1159,1,0.99,5782,4.45,0.01
Kepler-268 c,KOI-1113,Transit,2014,,,0.301543,0.373719,83.446393,,Kepler-268,,,,,,1.274,6081,4.287,
Kepler-135 c,KOI-301,Transit,2014,,,0.103488,0.0994132,11.448708,,Kepler-135,12.79,,,,,1.275,6090,4.271,
Kepler-265 c,KOI-1052,Transit,2014,,,0.234633,0.129538,17.028937,,Kepler-265,,,,,,1.103,5835,4.326,
Kepler-1296 b,,Transit,2016,,,0.081,0.0771045,8.3839865,0,Kepler-1296,,,,631,0.87,0.83,5359,4.55,-0.04
Kepler-1480 b,,Transit,2016,,,0.149,0.146114,22.12679948,0,Kepler-1480,,,,540,0.85,0.81,5156,4.56,0.07
Kepler-620 b,,Transit,2016,,,0.296,0.11286,12.91375431,0,Kepler-620,,,,1241,1.15,1.22,6155,4.33,0.03
HD 164595 b,,RV,2015,0.0507844,,,0.228139,40,0.088,HD 164595,7.08,,,28.9268,0.99,,5790,4.44,-0.04
16 Cyg B b,,RV,1997,1.63997,,,1.66027,798.5,0.681,16 Cyg B,6.25,,,21.2134,0.956,1.1176,5674.41,4.35488,0.0375072
HAT-P-25 b,2MASS J03134450+2511506,Transit,2012,0.566683,87.6,1.19,0.0465813,3.652836,0.032,HAT-P-25,13.15,,,297,1.01,0.959,5500,4.48,0.31
Kepler-341 e,KOI-1952,Transit,2014,,,0.177536,0.238241,42.473269,,Kepler-341,,,,,,1.024,6012,4.437,
HD 213240 b,,RV,2001,4.53249,,,1.88529,882.7,0.421,HD 213240,6.81,,,40.6339,1.143,1.3947,5967.95,4.22245,0.138711
Kepler-1577 b,,Transit,2016,,,0.101,0.0614878,6.30560247,0,Kepler-1577,,,,543,0.78,0.74,4862,4.6,0
